SRR ID	A_read_depth	A_strains	B_read_depth	B_strains	C_read_depth	C_strains
SRR3501852	3.40766	0	1.26642	0	1.39871	0
ERR479246	3.41291	0	0.725461	0	2.02098	0
SRR4408217	3.42868	0	1.83985	0	3.72962	0
ERR1137485	3.43093	0	4.47306	0	4.01937	0
ERR1525435	3.43544	1	2.18967	0	5.83535	0
ERR321274	3.44069	0	4.72325	0	4.51897	0
ERR209259	3.44069	0	3.72251	0	4.85472	0
ERR209512	3.44144	0	2.03247	0	2.53188	0
SRR1491148	3.44444	0	2.60295	2	1.54076	0
ERR719436	3.4542	0	2.7262	0	4.0686	0
ERR1190687	3.45721	0	3.34391	0	2.50686	0
SRR1491556	3.46622	0	1.30185	0	2.08152	0
ERR719451	3.46697	0	2.60517	0	3.80226	0
SRR2566060	3.46847	0	2.42657	0	2.27199	0
SRR1437974	3.46922	0	2.80664	0	1.60048	0
SRR1804975	3.47222	0	4.61181	0	3.06457	0
ERR1293124	3.47372	0	1.74391	0	4.35351	0
ERR1414271	3.47898	0	3.68856	0	4.2841	0
SRR1910692	3.48048	0	6.23247	0	4.06699	0
ERR321200	3.48498	0	2.26937	0	1.69814	0
DRR042422	3.4955	3	2.13137	0	5.69653	1
ERR260273	3.50075	0	3.74465	0	2.9661	0
ERR414651	3.50601	0	3.67085	0	3.09282	0
ERR209642	3.51051	0	5.82066	0	4.96207	0
ERR209176	3.51577	0	3.81845	0	1.78531	0
ERR321250	3.51727	0	3.17638	0	3.71025	0
ERR414668	3.51952	0	2.01624	0	2.35432	0
ERR480732	3.52928	0	4.1476	0	2.2502	0
ERR247153	3.53078	0	3.16458	0	3.61663	0
SRR807392	3.53153	0	1.94982	0	4.59726	0
ERR481052	3.53529	0	3.41402	0	3.50686	0
ERR209330	3.55105	0	1.2059	0	3.93866	0
ERR719208	3.55105	0	4.16974	0	8.02179	0
ERR719101	3.55105	0	6.02288	0	7.24294	1
ERR525864	3.55405	0	3.72472	0	5.89185	0
SRR1449762	3.55931	0	5.01328	0	3.43664	0
SRR2566035	3.57207	0	5.12546	0	5.36077	0
SRR1213564	3.57432	0	2.86052	0	1.74253	0
ERR209365	3.57583	0	3.05683	0	2.53349	0
ERR1137201	3.57583	0	4.12841	0	2.31396	0
